intersection_group,window_start,window_end,from_inter_id,turn_typ2to_inter,movement_count,total_count,movement_ratio
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,l,306,892,0.3430493273542601
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,s,266,892,0.2982062780269058
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,unknown,320,892,0.358744394618834
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,l,105,3155,0.0332805071315372
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,s,1798,3155,0.5698890649762282
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,unknown,1252,3155,0.3968304278922345
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,l,304,2840,0.1070422535211267
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,r,148,2840,0.052112676056338
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,s,1373,2840,0.4834507042253521
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,unknown,1015,2840,0.3573943661971831
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,l,187,771,0.2425421530479896
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,s,262,771,0.3398184176394293
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,unknown,322,771,0.4176394293125811
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,l,7,119,0.0588235294117647
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,s,23,119,0.1932773109243697
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,unknown,89,119,0.7478991596638656
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,l,2,49,0.0408163265306122
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,s,12,49,0.2448979591836734
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,unknown,35,49,0.7142857142857143
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,l,149,2272,0.0655809859154929
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,s,527,2272,0.2319542253521127
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,unknown,1596,2272,0.7024647887323944
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,l,43,488,0.0881147540983606
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,s,233,488,0.4774590163934426
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,unknown,212,488,0.4344262295081967
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,l,20,197,0.1015228426395939
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,s,45,197,0.2284263959390862
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,unknown,132,197,0.6700507614213198
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,l,290,2491,0.1164191087916499
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,r,200,2491,0.0802890405459654
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,s,1234,2491,0.495383380168607
15,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,unknown,767,2491,0.3079084704937776
15,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,l,57,433,0.1316397228637413
15,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,s,160,433,0.3695150115473441
15,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,unknown,216,433,0.4988452655889145
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,l,81,1724,0.046983758700696
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,r,336,1724,0.1948955916473317
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,s,536,1724,0.3109048723897912
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,unknown,771,1724,0.447215777262181
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,l,178,3177,0.0560276990871891
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,r,56,3177,0.017626691847655
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,s,1353,3177,0.4258734655335222
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,unknown,1590,3177,0.5004721435316336
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,l,487,1995,0.244110275689223
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,r,222,1995,0.1112781954887218
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,s,400,1995,0.200501253132832
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,unknown,886,1995,0.444110275689223
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,l,306,892,0.3430493273542601
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,s,266,892,0.2982062780269058
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215121,unknown,320,892,0.358744394618834
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,l,105,3155,0.0332805071315372
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,s,1798,3155,0.5698890649762282
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215147,unknown,1252,3155,0.3968304278922345
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,l,159,1918,0.0828988529718456
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,r,196,1918,0.1021897810218978
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,s,805,1918,0.4197080291970803
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,unknown,758,1918,0.3952033368091762
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,l,304,2840,0.1070422535211267
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,r,148,2840,0.052112676056338
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,s,1373,2840,0.4834507042253521
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215174,unknown,1015,2840,0.3573943661971831
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,l,187,771,0.2425421530479896
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,s,262,771,0.3398184176394293
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215428,unknown,322,771,0.4176394293125811
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,l,7,119,0.0588235294117647
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,s,23,119,0.1932773109243697
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215448,unknown,89,119,0.7478991596638656
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,l,2,49,0.0408163265306122
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,s,12,49,0.2448979591836734
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215449,unknown,35,49,0.7142857142857143
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,l,149,2272,0.0655809859154929
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,s,527,2272,0.2319542253521127
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215450,unknown,1596,2272,0.7024647887323944
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,l,43,488,0.0881147540983606
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,s,233,488,0.4774590163934426
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,unknown,212,488,0.4344262295081967
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,l,223,2699,0.0826231937754723
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,r,248,2699,0.091885883660615
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,s,1230,2699,0.4557243423490181
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,unknown,998,2699,0.3697665802148944
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,l,129,1966,0.065615462868769
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,r,332,1966,0.1688708036622584
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,s,469,1966,0.2385554425228891
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,unknown,1036,1966,0.5269582909460834
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,l,20,197,0.1015228426395939
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,s,45,197,0.2284263959390862
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,unknown,132,197,0.6700507614213198
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,l,290,2491,0.1164191087916499
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,r,200,2491,0.0802890405459654
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,s,1234,2491,0.495383380168607
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,unknown,767,2491,0.3079084704937776
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,l,9,728,0.0123626373626373
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,r,205,728,0.2815934065934066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,s,218,728,0.2994505494505494
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,unknown,296,728,0.4065934065934066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,l,332,3304,0.1004842615012106
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,r,298,3304,0.0901937046004842
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,s,1396,3304,0.4225181598062954
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,unknown,1278,3304,0.3868038740920096
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,l,57,433,0.1316397228637413
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,s,160,433,0.3695150115473441
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,unknown,216,433,0.4988452655889145
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,l,81,1724,0.046983758700696
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,r,336,1724,0.1948955916473317
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,s,536,1724,0.3109048723897912
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,unknown,771,1724,0.447215777262181
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,l,178,3177,0.0560276990871891
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,r,56,3177,0.017626691847655
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,s,1353,3177,0.4258734655335222
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,unknown,1590,3177,0.5004721435316336
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,l,487,1995,0.244110275689223
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,r,222,1995,0.1112781954887218
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,s,400,1995,0.200501253132832
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,unknown,886,1995,0.444110275689223
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,l,159,1918,0.0828988529718456
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,r,196,1918,0.1021897810218978
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,s,805,1918,0.4197080291970803
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,unknown,758,1918,0.3952033368091762
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,l,223,2699,0.0826231937754723
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,r,248,2699,0.091885883660615
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,s,1230,2699,0.4557243423490181
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,unknown,998,2699,0.3697665802148944
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,l,129,1966,0.065615462868769
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,r,332,1966,0.1688708036622584
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,s,469,1966,0.2385554425228891
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,unknown,1036,1966,0.5269582909460834
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,l,9,728,0.0123626373626373
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,r,205,728,0.2815934065934066
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,s,218,728,0.2994505494505494
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,unknown,296,728,0.4065934065934066
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,l,332,3304,0.1004842615012106
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,r,298,3304,0.0901937046004842
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,s,1396,3304,0.4225181598062954
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,unknown,1278,3304,0.3868038740920096
